gratis 	 adjective 	 charge 	 free, without charge
diácono 	 noun 	 deacon 	 deacon
trípode 	 noun 	 tripod 	 tripod
infiltración 	 noun 	 infiltration 	 infiltration
falbalá 	 noun 	 furbelow 	 furbelow
cartulario 	 noun 	 cartulary 	 cartulary
cipsela 	 noun 	 achene 	 achene
clasto 	 noun 	 clast 	 clast
coulrofobia 	 noun 	 coulrophobia 	 coulrophobia
desmosoma 	 noun 	 desmosome 	 desmosome
ecomuseo 	 noun 	 ecomuseum 	 ecomuseum
boca a boca 	 noun 	 word of mouth 	 word of mouth
boca a boca 	 noun 	 mouth-to-mouth 	 mouth-to-mouth
caudillista 	 adjective 	 caudillo 	 caudillo
donjuán 	 noun 	 Don Juan 	 Don Juan, philanderer, womanizer
donjuán 	 noun 	 philanderer 	 Don Juan, philanderer, womanizer
donjuán 	 noun 	 womanizer 	 Don Juan, philanderer, womanizer
desobediencia 	 noun 	 disobedience 	 disobedience
capricornio 	 adjective 	 Capricorn 	 Capricorn
magnánimamente 	 adverb 	 magnanimously 	 magnanimously
leísmo 	 noun 	 direct object 	 The practice of using le as a direct object pronoun when referring to people
runología 	 noun 	 runology 	 runology
lanceta 	 noun 	 lancet 	 lancet
largueza 	 noun 	 largesse 	 largesse
laringólogo 	 noun 	 laryngologist 	 laryngologist
laringología 	 noun 	 laryngology 	 laryngology
ultimogénito 	 noun 	 lastborn 	 lastborn
relave 	 noun 	 tailings 	 tailings
nitrería 	 noun 	 nitrary 	 nitrary
osteología 	 noun 	 osteology 	 osteology
chiripá 	 noun 	 gaucho 	 A triangular shawl worn on the waist in gaucho culture
chiripá 	 noun 	 shawl 	 A triangular shawl worn on the waist in gaucho culture
chiripá 	 noun 	 triangular 	 A triangular shawl worn on the waist in gaucho culture
integrista 	 adjective 	 fundamental 	 fundamental
kinetoscopio 	 noun 	 kinetoscope 	 kinetoscope
lamarckismo 	 noun 	 Lamarckism 	 Lamarckism
rajá 	 noun 	 rajah 	 rajah
telemetría 	 noun 	 telemetry 	 telemetry
mormón 	 noun 	 Mormon 	 Mormon
donador 	 noun 	 donor 	 donor
cómodamente 	 adverb 	 comfortably 	 comfortably
cómodamente 	 adverb 	 conveniently 	 conveniently
lambel 	 noun 	 label 	 label
ovalado 	 adjective 	 oval 	 oval
lacayo 	 noun 	 lackey 	 lackey
lobotomía 	 noun 	 lobotomy 	 lobotomy
estimulación 	 noun 	 stimulation 	 stimulation
diván 	 noun 	 divan 	 divan
diván 	 noun 	 divan 	 divan
diván 	 noun 	 divan 	 divan
cántaro 	 noun 	 jug 	 jug, jar
cántaro 	 noun 	 jar 	 jug, jar
cántaro 	 noun 	 amphora 	 amphora
reclusión 	 noun 	 reclusion 	 reclusion
reclusión 	 noun 	 imprisonment 	 imprisonment
montañés 	 adjective 	 highland 	 mountain, highland
montañés 	 adjective 	 mountain 	 mountain, highland
montañés 	 noun 	 mountaineer 	 highlander, mountaineer
montañés 	 noun 	 highlander 	 highlander, mountaineer
montañés 	 noun 	 Cantabria 	 the Astur-Leonese dialect spoken in western parts of Cantabria
montañés 	 noun 	 Astur-Leonese 	 the Astur-Leonese dialect spoken in western parts of Cantabria
copita 	 noun 	 glass 	 nodot=y, little glass
cianótico 	 adjective 	 cyanotic 	 cyanotic
micrón 	 noun 	 micrometer 	 micron, micrometer
micrón 	 noun 	 micron 	 micron, micrometer
resultón 	 adjective 	 pretty 	 pretty, attractive
resultón 	 adjective 	 attractive 	 pretty, attractive
alcuño 	 noun 	 nickname 	 nickname, soubriquet
alcuño 	 noun 	 soubriquet 	 nickname, soubriquet
espermatozoide 	 noun 	 spermatozoid 	 spermatozoid
triclorofluorometano 	 noun 	 trichlorofluoromethane 	 trichlorofluoromethane
monoide 	 noun 	 monoid 	 monoid
monolitismo 	 noun 	 monolithism 	 monolithism
mordvino 	 adjective 	 Mordvinian 	 Mordvinian
mordvino 	 noun 	 Mordvinian 	 Mordvinian
mordvino 	 noun 	 Mordvinian 	 Mordvinian
nomofobia 	 noun 	 nomophobia 	 nomophobia
pastor alemán 	 noun 	 German Shepherd 	 German Shepherd
ojibwa 	 adjective 	 Ojibwe 	 Ojibwe
ojibwa 	 noun 	 Ojibwe 	 Ojibwe
retocar 	 verb 	 touch up 	 to touch up
oficiante 	 noun 	 officiant 	 officiant
dígrafo 	 noun 	 digraph 	 digraph
esteticismo 	 noun 	 aestheticism 	 aestheticism
melifluo 	 adjective 	 mellifluous 	 mellifluous
selvático 	 adjective 	 woods 	 sylvan, woods
selvático 	 adjective 	 sylvan 	 sylvan, woods
risoterapia 	 noun 	 laughter therapy 	 laughter therapy
ruco 	 adjective 	 old 	 old
ruco 	 adjective 	 worn out 	 worn out, useless
ruco 	 adjective 	 useless 	 worn out, useless
ruco 	 noun 	 old fogey 	 old fogey, dodo, fuddy-duddy
ruco 	 noun 	 dodo 	 old fogey, dodo, fuddy-duddy
ruco 	 noun 	 fuddy-duddy 	 old fogey, dodo, fuddy-duddy
ruco 	 noun 	 dobbin 	 dobbin
saprofito 	 noun 	 saprophyte 	 saprophyte
europeizar 	 verb 	 Europeanize 	 to Europeanize
humanización 	 noun 	 humanization 	 humanization
afrancesar 	 verb 	 Frenchify 	 to Frenchify
verbalización 	 noun 	 verbalization 	 verbalization
puntero 	 adjective 	 leading 	 leading
puntero 	 adjective 	 cutting-edge 	 cutting-edge
puntero 	 noun 	 pointer 	 pointer, cursor
puntero 	 noun 	 leader 	 leader
puntero 	 noun 	 outstanding 	 outstanding person
puntero 	 noun 	 chisel 	 chisel
puntero 	 noun 	 chanter 	 chanter
vivíparo 	 adjective 	 viviparous 	 viviparous
recatado 	 adjective 	 demure 	 demure, coy, bashful
recatado 	 adjective 	 bashful 	 demure, coy, bashful
recatado 	 adjective 	 coy 	 demure, coy, bashful
docencia 	 noun 	 tutoring 	 teaching, tutoring
docencia 	 noun 	 teaching 	 teaching, tutoring
catrín 	 adjective 	 rich 	 Wealthy, rich
catrín 	 adjective 	 wealthy 	 Wealthy, rich
catrín 	 adjective 	 elegant 	 Elegantly dressed, stylish, posh
catrín 	 adjective 	 posh 	 Elegantly dressed, stylish, posh
catrín 	 adjective 	 dress 	 Elegantly dressed, stylish, posh
catrín 	 adjective 	 stylish 	 Elegantly dressed, stylish, posh
catrín 	 noun 	 dandy 	 A fop or dandy, a gentleman who is a stylish dresser
catrín 	 noun 	 fop 	 A fop or dandy, a gentleman who is a stylish dresser
seropositivo 	 adjective 	 seropositive 	 seropositive
impío 	 adjective 	 impious 	 impious
impío 	 adjective 	 profane 	 profane
impío 	 adjective 	 nonreligious 	 nonreligious
filarmónico 	 adjective 	 philharmonic 	 philharmonic
filarmónica 	 noun 	 philharmonic 	 philharmonic
arvense 	 adjective 	 weed 	 growing in weeds
ganada 	 noun 	 earnings 	 profit, gain, earnings
ganada 	 noun 	 gain 	 profit, gain, earnings
ganada 	 noun 	 profit 	 profit, gain, earnings
bambi 	 noun 	 deer 	 deer
rapanui 	 noun 	 Rapa Nui 	 Rapa Nui
disparador 	 noun 	 trigger 	 trigger
disparador 	 noun 	 release 	 release
témporas 	 noun 	 Ember day 	 Ember days
organdí 	 noun 	 organdy 	 organdy
indeleble 	 adjective 	 indelible 	 indelible
gallito 	 noun 	 cock 	 nodot=y, cockerel little cock
gallito 	 noun 	 cockerel 	 nodot=y, cockerel little cock
gallito 	 noun 	 popcorn 	 popcorn
gallitos 	 noun 	 popcorn 	 popcorn
sitofobia 	 noun 	 sitophobia 	 sitophobia
éneo 	 adjective 	 brazen 	 brazen; made of copper or bronze
éneo 	 adjective 	 bronze 	 brazen; made of copper or bronze
éneo 	 adjective 	 copper 	 brazen; made of copper or bronze
pinar 	 noun 	 grove 	 pine grove
pinar 	 noun 	 pine 	 pine grove
mamalógico 	 adjective 	 mammalogical 	 mammalogical
teriología 	 noun 	 mammalogy 	 mammalogy
webisodio 	 noun 	 webisode 	 webisode
eterizar 	 verb 	 etherize 	 to etherize
antiterrorista 	 adjective 	 antiterrorist 	 antiterrorist
pillería 	 noun 	 tricks 	 tricking, playing tricks
pillería 	 noun 	 tricking 	 tricking, playing tricks
monopolístico 	 adjective 	 monopolistic 	 monopolistic
oligopolístico 	 adjective 	 oligopolistic 	 oligopolistic
éticamente 	 adverb 	 ethically 	 ethically
bioética 	 noun 	 bioethics 	 bioethics
peste negra 	 noun 	 Black Plague 	 Black Death, Black Plague
peste negra 	 noun 	 Black Death 	 Black Death, Black Plague
vacada 	 noun 	 herd 	 herd
armamentista 	 adjective 	 arms 	 arms, weaponry
armamentista 	 adjective 	 weaponry 	 arms, weaponry
feca 	 noun 	 coffee 	 coffee
geopolítico 	 adjective 	 geopolitical 	 geopolitical
zapán 	 noun 	 paunch 	 paunch
milonguero 	 adjective 	 milonga 	 milonga
milonguero 	 noun 	 milonga 	 One who sings milongas
cofín 	 noun 	 basket 	 basket
hurí 	 noun 	 houri 	 houri
tragicómico 	 adjective 	 tragicomic 	 tragicomic
visigodo 	 adjective 	 Visigothic 	 Visigothic
visigodo 	 noun 	 Visigoth 	 Visigoth
ordeñador 	 adjective 	 milking 	 milking
ordeñador 	 noun 	 milker 	 milker
estuarino 	 adjective 	 estuarian 	 estuarian
sinusal 	 adjective 	 sinus 	 sinus
clavada 	 noun 	 rip-off 	 rip-off
clavada 	 noun 	 pin 	 pin
superpoder 	 noun 	 superpower 	 superpower
supermodelo 	 noun 	 supermodel 	 supermodel
cearense 	 adjective 	 Ceará 	 Of or from Ceará
cearense 	 noun 	 Ceará 	 Someone from Ceará
paranaense 	 adjective 	 Paraná 	 of or from Paraná
paranaense 	 noun 	 Paraná 	 someone from Paraná
bragueta 	 noun 	 fly 	 fly
bragueta 	 noun 	 zip fastener 	 zip fastener
desparpajo 	 noun 	 self-confidence 	 self-confidence
desparpajo 	 noun 	 fluency 	 fluency
desparpajo 	 noun 	 mess 	 mess, disorder
desparpajo 	 noun 	 disorder 	 mess, disorder
desparpajo 	 noun 	 messy 	 messy talk
desparpajo 	 noun 	 talk 	 messy talk
tejanos 	 noun 	 blue jeans 	 blue jeans
arao 	 noun 	 guillemot 	 guillemot
remolcador 	 noun 	 tugboat 	 tugboat, towboat
remolcador 	 noun 	 towboat 	 tugboat, towboat
baqueta 	 noun 	 drumstick 	 drumstick
baqueta 	 noun 	 ramrod 	 ramrod
batucada 	 noun 	 English 	 batucada
baptizar 	 verb 	 baptise 	 to baptise
sonador 	 adjective 	 sound 	 sound-producing
taxímetro 	 noun 	 taximeter 	 taximeter
taxímetro 	 noun 	 taxi 	 taxi
varada 	 noun 	 stranding 	 stranding
varada 	 noun 	 beaching 	 beaching
varada 	 noun 	 grounding 	 grounding
florentino 	 adjective 	 Florentine 	 Florentine
florentino 	 noun 	 Florentine 	 Florentine
centro comercial 	 noun 	 mall 	 mall, shopping centre
centro comercial 	 noun 	 shopping centre 	 mall, shopping centre
mácula 	 noun 	 stain 	 stain
freático 	 adjective 	 phreatic 	 phreatic
argénteo 	 adjective 	 silvery 	 silver, silvery
argénteo 	 adjective 	 silver 	 silver, silvery
penacho 	 noun 	 tuft 	 tuft
presea 	 noun 	 gem 	 gem
taxidermia 	 noun 	 taxidermy 	 taxidermy
abreviativo 	 adjective 	 abbreviatory 	 abbreviatory
acadiano 	 adjective 	 Accadian 	 Accadian
acadiano 	 noun 	 Accadian 	 Accadian
transubstanciación 	 noun 	 transubstantiation 	 transubstantiation
aguerrido 	 adjective 	 hardened 	 veteran, hardened
aguerrido 	 adjective 	 veteran 	 veteran, hardened
aguerrido 	 adjective 	 experienced 	 experienced
aguerrido 	 adjective 	 aggressive 	 brave, aggressive
aguerrido 	 adjective 	 brave 	 brave, aggressive
prestidigitador 	 noun 	 prestidigitator 	 prestidigitator
bólido 	 noun 	 racecar 	 racecar
bólido 	 noun 	 speedboat 	 speedboat
bólido 	 noun 	 bolide 	 bolide
fuelle 	 noun 	 bellows 	 bellows
fuelle 	 noun 	 bellows 	 bellows
fuelle 	 noun 	 convertible 	 the folding roof of a convertible vehicle
fuelle 	 noun 	 bag 	 bag
fuelle 	 noun 	 steam 	 stamina; steam
fuelle 	 noun 	 stamina 	 stamina; steam
chanza 	 noun 	 joke 	 joke
suní 	 adjective 	 Sunni 	 Sunni
suní 	 noun 	 Sunni 	 Sunni
mínimamente 	 adverb 	 minimally 	 minimally
preeminencia 	 noun 	 pre-eminence 	 pre-eminence
pádel 	 noun 	 padel 	 padel
soltura 	 noun 	 fluency 	 fluency
soltura 	 noun 	 looseness 	 looseness
presencial 	 adjective 	 on-site 	 in-person, on-site
presencial 	 adjective 	 in person 	 in-person, on-site
náyade 	 noun 	 naiad 	 naiad
náyade 	 noun 	 naiad 	 naiad
conformarse 	 verb 	 make do 	 to make do , to content oneself
desplome 	 noun 	 collapse 	 collapse
impopular 	 adjective 	 unpopular 	 unpopular
arlequín 	 noun 	 buffoon 	 buffoon, jester
arlequín 	 noun 	 jester 	 buffoon, jester
desfalcar 	 verb 	 embezzle 	 to embezzle
sindicalista 	 adjective 	 trade-union 	 trade-union
sindicalista 	 noun 	 trades unionist 	 trades unionist
dialéctico 	 adjective 	 dialectic 	 dialectic
jaima 	 noun 	 tent 	 Bedouin tent
poderío 	 noun 	 power 	 power
bolita 	 noun 	 marble 	 marble
bolita 	 noun 	 ball 	 small ball
bolita 	 noun 	 Bolivian 	 Bolivian
pesquera 	 noun 	 fish 	 fish company
pesquera 	 noun 	 company 	 fish company
copagorja 	 noun 	 sword 	 a small dagger or sword
copagorja 	 noun 	 dagger 	 a small dagger or sword
amonal 	 noun 	 ammonal 	 ammonal
euroescéptico 	 adjective 	 Eurosceptic 	 Eurosceptic UK, Eurosceptic US
euroescéptico 	 noun 	 Eurosceptic 	 Eurosceptic UK, Eurosceptic US
acólito 	 noun 	 acolyte 	 acolyte
advocar 	 verb 	 advocate 	 to advocate
advocar 	 verb 	 defend 	 to defend in court
agendar 	 verb 	 schedule 	 to schedule
agendar 	 verb 	 sign up 	 to sign up
agraciar 	 verb 	 award 	 to award
agraciar 	 verb 	 shower 	 to shower
agraciar 	 verb 	 graceful 	 to make  look graceful
alpargata 	 noun 	 espadrille 	 espadrille
alpiste 	 noun 	 birdseed 	 birdseed
andador 	 adjective 	 walking 	 walking
andador 	 noun 	 rollator 	 rollator
andador 	 noun 	 walker 	 walker
padrón 	 noun 	 census 	 census
padrón 	 noun 	 electoral roll 	 electoral roll
padrón 	 noun 	 stud horse 	 stud horse, stallion
padrón 	 noun 	 stallion 	 stud horse, stallion
poblacional 	 adjective 	 population 	 population
aplicativo 	 adjective 	 applicable 	 applicable
aplicativo 	 adjective 	 applicative 	 applicative
aplicativo 	 noun 	 application 	 app, application
aplicativo 	 noun 	 app 	 app, application
apagador 	 noun 	 muffler 	 muffler
apagador 	 noun 	 candle snuffer 	 snuffer; candle snuffer
apagador 	 noun 	 snuffer 	 snuffer; candle snuffer
tajalápiz 	 noun 	 pencil sharpener 	 pencil sharpener
vosotres 	 pronoun 	 you 	 you
crisálida 	 noun 	 chrysalis 	 chrysalis
cancionero 	 noun 	 songbook 	 songbook
lavador 	 noun 	 washer 	 washer
aparcacoches 	 noun 	 parking attendant 	 valet, parking attendant , parking lot attendant
aparcacoches 	 noun 	 parking lot attendant 	 valet, parking attendant , parking lot attendant
aparcacoches 	 noun 	 valet 	 valet, parking attendant , parking lot attendant
antihorario 	 adjective 	 anticlockwise 	 anticlockwise South Africa, AU, New Zealand, Britain, counterclockwise US
antihorario 	 adjective 	 counterclockwise 	 anticlockwise South Africa, AU, New Zealand, Britain, counterclockwise US
automedicarse 	 verb 	 self-medicate 	 to self-medicate
desencallar 	 verb 	 refloat 	 to refloat
cámara digital 	 noun 	 digital camera 	 digital camera
amurado 	 noun 	 tack 	 tack
mordiscar 	 verb 	 nibble 	 to nibble
cretense 	 adjective 	 Cretan 	 Cretan
cretense 	 noun 	 Cretan 	 Cretan
antológico 	 adjective 	 historic 	 historic, memorable
antológico 	 adjective 	 memorable 	 historic, memorable
honroso 	 adjective 	 honourable 	 honourable
menester 	 noun 	 necessary 	 something necessary, requirement, must
menester 	 noun 	 must 	 something necessary, requirement, must
menester 	 noun 	 requirement 	 something necessary, requirement, must
menester 	 noun 	 duty 	 duty
rubricar 	 verb 	 initial 	 to sign, to initial
rubricar 	 verb 	 sign 	 to sign, to initial
viagra 	 noun 	 Viagra 	 Viagra
reprogramar 	 verb 	 reschedule 	 to reschedule
reprogramar 	 verb 	 reprogram 	 to reprogram
profe 	 noun 	 teacher 	 nodot=y, teacher
cuchí 	 noun 	 pig 	 pig
feromona 	 noun 	 pheromone 	 pheromone
compinche 	 noun 	 wingman 	 sidekick, wingman, partner
compinche 	 noun 	 partner 	 sidekick, wingman, partner
compinche 	 noun 	 sidekick 	 sidekick, wingman, partner
compinche 	 noun 	 crony 	 crony
compinche 	 noun 	 homie 	 buddy, homie, shill, chum, homeboy, homegirl
compinche 	 noun 	 homegirl 	 buddy, homie, shill, chum, homeboy, homegirl
compinche 	 noun 	 buddy 	 buddy, homie, shill, chum, homeboy, homegirl
compinche 	 noun 	 shill 	 buddy, homie, shill, chum, homeboy, homegirl
compinche 	 noun 	 chum 	 buddy, homie, shill, chum, homeboy, homegirl
compinche 	 noun 	 homeboy 	 buddy, homie, shill, chum, homeboy, homegirl
afectable 	 adjective 	 affectable 	 affectable
catarinense 	 adjective 	 Santa Catarina 	 Of or from Santa Catarina
catarinense 	 noun 	 Santa Catarina 	 Someone from Santa Catarina
cumulonimbo 	 noun 	 cumulonimbus 	 cumulonimbus
altocúmulo 	 noun 	 altocumulus 	 altocumulus
astroso 	 adjective 	 dirty 	 dirty, unkempt
astroso 	 adjective 	 unkempt 	 dirty, unkempt
astroso 	 adjective 	 unfortunate 	 unfortunate, ill-fated
astroso 	 adjective 	 ill-fated 	 unfortunate, ill-fated
ocla 	 noun 	 seaweed 	 seaweed
réprobo 	 adjective 	 reprobate 	 reprobate
moái 	 noun 	 moai 	 moai
embuste 	 noun 	 hoax 	 lie, deception, hoax
embuste 	 noun 	 lie 	 lie, deception, hoax
embuste 	 noun 	 deception 	 lie, deception, hoax
embuste 	 noun 	 mentira 	 *: Mentira explica sólo la idea de una cosa falsa: embuste, supone además de la falsedad la malicia; porque nadie dice un embuste de buena fe
embuste 	 noun 	 trinket 	 trinkets
diamantar 	 verb 	 diamond 	 to make shine like a diamond
diamantar 	 verb 	 shine 	 to make shine like a diamond
erotizar 	 verb 	 eroticize 	 to eroticize
depre 	 adjective 	 depressed 	 depressed
depre 	 noun 	 depression 	 depression
crispeta 	 noun 	 popcorn 	 popcorn
biatlón 	 noun 	 biathlon 	 biathlon
esquí alpino 	 noun 	 alpine skiing 	 alpine skiing
chía 	 noun 	 chia 	 chia
patagónico 	 adjective 	 Patagonian 	 Patagonian
incólume 	 adjective 	 unscathed 	 unhurt, unscathed
incólume 	 adjective 	 unhurt 	 unhurt, unscathed
súmmum 	 noun 	 height 	 height, peak
súmmum 	 noun 	 peak 	 height, peak
vincha 	 noun 	 headband 	 headband
tronada 	 noun 	 thunderstorm 	 thunderstorm
industriar 	 verb 	 teach 	 to teach; to instruct
industriar 	 verb 	 instruct 	 to teach; to instruct
industriar 	 verb 	 get by 	 to get by; sort things out oneself
direccionar 	 verb 	 address 	 to address
divergencia 	 noun 	 divergence 	 divergence
extractar 	 verb 	 sum up 	 to summarise; sum up
extractar 	 verb 	 summarise 	 to summarise; sum up
lexicología 	 noun 	 lexicology 	 lexicology
mixturar 	 verb 	 mix 	 to mix
nebrina 	 noun 	 berry 	 prickly juniper berry
nebrina 	 noun 	 prickly juniper 	 prickly juniper berry
socioeconómico 	 adjective 	 socioeconomic 	 socioeconomic
suricata 	 noun 	 meerkat 	 meerkat
volibol 	 noun 	 volleyball 	 volleyball
calesa 	 noun 	 stage-coach 	 stage-coach
perspectivo 	 noun 	 perspectivist 	 perspectivist
deltaico 	 adjective 	 deltaic 	 deltaic
seseo 	 noun 	 Galician 	 An accent in Spanish and Galician that pronounces z, and c when before e or i, as /s/ as opposed to /θ/
ovogonia 	 noun 	 oogonium 	 oogonium
hogaño 	 adverb 	 these days 	 these days
hogaño 	 adverb 	 this year 	 this year
cuchi 	 noun 	 pig 	 pig
burdeos 	 adjective 	 burgundy 	 burgundy
burdeos 	 noun 	 burgundy 	 burgundy colour
burdeos 	 noun 	 Bordeaux 	 Bordeaux wine
subclínico 	 adjective 	 subclinical 	 subclinical
bebedor 	 adjective 	 drinking 	 drinking
bebedor 	 adjective 	 bibulous 	 hard drinking, bibulous
bebedor 	 adjective 	 hard drinking 	 hard drinking, bibulous
bebedor 	 noun 	 drinker 	 drinker
bebedor 	 noun 	 drunkard 	 drunkard
ballesta 	 noun 	 crossbow 	 crossbow
ballesta 	 noun 	 ballista 	 ballista
ballesta 	 noun 	 leaf spring 	 leaf spring
barbitúrico 	 noun 	 barbiturate 	 barbiturate
alimentador 	 adjective 	 nutritious 	 nutritious
braveza 	 noun 	 bravery 	 bravery
braveza 	 noun 	 ferocity 	 wildness; ferocity
braveza 	 noun 	 wildness 	 wildness; ferocity
calorimetría 	 noun 	 calorimetry 	 calorimetry
m'ija 	 noun 	 mi 	 |contraction of mi hijo: my son
m'ija 	 noun 	 hijo 	 |contraction of mi hijo: my son
desmadre 	 noun 	 mess 	 disorder; chaos; mess
desmadre 	 noun 	 chaos 	 disorder; chaos; mess
desmadre 	 noun 	 disorder 	 disorder; chaos; mess
dobladura 	 noun 	 fold 	 fold
en teoría 	 adverb 	 theoretically 	 in theory, theoretically
en teoría 	 adverb 	 in theory 	 in theory, theoretically
gentío 	 noun 	 throng 	 throng, crowd
gentío 	 noun 	 crowd 	 throng, crowd
doctorar 	 verb 	 doctorate 	 to give/grant a doctorate
doctorar 	 verb 	 doctorate 	 to get a doctorate
cátedra 	 noun 	 professorship 	 professorship
superventas 	 adjective 	 best-selling 	 best-selling
superventas 	 noun 	 bestseller 	 bestseller
fonólogo 	 noun 	 phonologist 	 phonologist
fotocopiadora 	 noun 	 photocopier 	 photocopier
fotómetro 	 noun 	 photometer 	 photometer
ligur 	 noun 	 Ligurian 	 Ligurian
ligur 	 noun 	 Ligurian 	 Ligurian
bactriano 	 adjective 	 Bactrian 	 Bactrian
constantinopolitano 	 adjective 	 Constantinopolitan 	 Constantinopolitan
discoideo 	 adjective 	 discoid 	 discoid
suevo 	 noun 	 Suebi 	 Suevian; Suebi
suevo 	 noun 	 Suevian 	 Suevian; Suebi
suevo 	 adjective 	 Suebi 	 Suevian; Suebi
suevo 	 adjective 	 Suevian 	 Suevian; Suebi
merca 	 noun 	 cocaine 	 cocaine, illegal drugs
anotador 	 noun 	 scorer 	 scorer
anotador 	 noun 	 notepad 	 notepad
aparatoso 	 adjective 	 meretricious 	 showy, lavish, flamboyant, meretricious
aparatoso 	 adjective 	 spectacular 	 spectacular
argumentista 	 noun 	 screenwriter 	 screenwriter; scriptwriter
argumentista 	 noun 	 scriptwriter 	 screenwriter; scriptwriter
peceto 	 noun 	 eye of round 	 eye of round
predestinación 	 noun 	 predestination 	 predestination
címbalo 	 noun 	 cymbal 	 cymbal
pañero 	 noun 	 clothier 	 draper, clothier, dry-goods dealer
pañero 	 noun 	 dealer 	 draper, clothier, dry-goods dealer
pañero 	 noun 	 draper 	 draper, clothier, dry-goods dealer
pañero 	 noun 	 dry goods 	 draper, clothier, dry-goods dealer
pañero 	 adjective 	 textile 	 textile, cloth
pañero 	 adjective 	 cloth 	 textile, cloth
septentrión 	 noun 	 north 	 north
concordancia 	 noun 	 concord 	 agreement, concord
concordancia 	 noun 	 agreement 	 agreement, concord
concordancia 	 noun 	 consonance 	 harmony, consonance
concordancia 	 noun 	 harmony 	 harmony, consonance
concordancia 	 noun 	 concordance 	 concordance
volái 	 noun 	 cop 	 cop; copper
volái 	 noun 	 copper 	 cop; copper
volada 	 noun 	 short 	 short flight
volada 	 noun 	 flight 	 short flight
poemario 	 noun 	 poem 	 collection of poems
poemario 	 noun 	 collection 	 collection of poems
miliario 	 noun 	 milestone 	 milestone
basiliano 	 adjective 	 Basilian 	 Basilian
oropéndola 	 noun 	 oriole 	 oriole
oropéndola 	 noun 	 oropendola 	 oropendola
vodevil 	 noun 	 vaudeville 	 vaudeville
sémola 	 noun 	 meal 	 semolina, grits, meal
sémola 	 noun 	 grits 	 semolina, grits, meal
sémola 	 noun 	 semolina 	 semolina, grits, meal
óblast 	 noun 	 oblast 	 oblast
bicolano 	 adjective 	 Bicolano 	 Bicolano
bicolano 	 noun 	 Bicolano 	 Bicolano
bicolano 	 noun 	 Bicol 	 Bicol
cuatri 	 noun 	 quad 	 quad; quad bike
cuatri 	 noun 	 quad bike 	 quad; quad bike
mercedario 	 adjective 	 Mercedarian 	 Mercedarian
mercedario 	 noun 	 Mercedarian 	 Mercedarian
traje espacial 	 noun 	 space suit 	 space suit
supercentenario 	 noun 	 supercentenarian 	 supercentenarian
trinidadiano 	 adjective 	 Trinidadian 	 Trinidadian
trinidadiano 	 noun 	 Trinidadian 	 Trinidadian
bioinformática 	 noun 	 bioinformatics 	 bioinformatics
blablablá 	 noun 	 blah blah blah 	 blah blah blah
arrasador 	 adjective 	 destructive 	 crushing, destructive
arrasador 	 adjective 	 crushing 	 crushing, destructive
estrábico 	 adjective 	 crosseyed 	 crosseyed
estrábico 	 adjective 	 strabismus 	 having strabismus
estrabismo 	 noun 	 focus 	 a defect of vision in which one eye cannot focus with the other on an object because of imbalance of the eye muscles; a squint
estrabismo 	 noun 	 muscle 	 a defect of vision in which one eye cannot focus with the other on an object because of imbalance of the eye muscles; a squint
estrabismo 	 noun 	 eye 	 a defect of vision in which one eye cannot focus with the other on an object because of imbalance of the eye muscles; a squint
estrabismo 	 noun 	 squint 	 a defect of vision in which one eye cannot focus with the other on an object because of imbalance of the eye muscles; a squint
estrabismo 	 noun 	 vision 	 a defect of vision in which one eye cannot focus with the other on an object because of imbalance of the eye muscles; a squint
estrabismo 	 noun 	 imbalance 	 a defect of vision in which one eye cannot focus with the other on an object because of imbalance of the eye muscles; a squint
estrabismo 	 noun 	 defect 	 a defect of vision in which one eye cannot focus with the other on an object because of imbalance of the eye muscles; a squint
estrabismo 	 noun 	 strabismus 	 strabismus
cantalupo 	 noun 	 cantaloupe 	 cantaloupe
bachiano 	 adjective 	 Bach 	 Bach
bandoneonista 	 noun 	 bandoneon 	 bandoneon player
desacordado 	 adjective 	 out of tune 	 out of tune
desafiador 	 adjective 	 defiant 	 defiant
desafiador 	 adjective 	 challenging 	 challenging
descarnar 	 verb 	 flesh 	 to flesh
desobstruir 	 verb 	 clear 	 to clear, deobstruct, or unblock
desobstruir 	 verb 	 unblock 	 to clear, deobstruct, or unblock
desobstruir 	 verb 	 deobstruct 	 to clear, deobstruct, or unblock
destratar 	 verb 	 mistreat 	 to mistreat
diacrónico 	 adjective 	 diachronic 	 diachronic
búdico 	 adjective 	 Buddhic 	 Buddhic
distantemente 	 adverb 	 distantly 	 distantly
dodecafonismo 	 noun 	 twelve-tone technique 	 twelve-tone technique
dominatriz 	 noun 	 dominatrix 	 dominatrix
íncola 	 noun 	 inhabitant 	 inhabitant, resident, dweller
íncola 	 noun 	 resident 	 inhabitant, resident, dweller
íncola 	 noun 	 dweller 	 inhabitant, resident, dweller
ítalo 	 adjective 	 Italian 	 Italian
ítalo 	 noun 	 Italian 	 Italian
óbolo 	 noun 	 obolus 	 obolus
óbolo 	 noun 	 mite 	 mite; couple of pennies
femicidio 	 noun 	 femicide 	 femicide
gustativamente 	 adverb 	 gustatorily 	 gustatorily
pastoralmente 	 adverb 	 pastorally 	 pastorally
apátrida 	 adjective 	 stateless 	 stateless
apátrida 	 noun 	 stateless 	 stateless person
argentar 	 verb 	 silver-plate 	 to silver-plate
