a 	 interjection 	 hah 	 hah!
chíp 	 interjection 	 chirp 	 chirp; peep
chíp 	 interjection 	 peep 	 chirp; peep
ò ó o 	 interjection 	 cock-a-doodle-doo 	 cock-a-doodle-doo
稅關 	 noun 	 customhouse 	 customs, customhouse
稅關 	 noun 	 customs 	 customs, customhouse
cúi 	 noun 	 pig 	 pig
cúi 	 verb 	 bend 	 to bend
水文學 	 noun 	 hydrology 	 hydrology
mũi tên 	 noun 	 arrow 	 arrow
phù rể 	 noun 	 groomsman 	 groomsman
xa lộ 	 noun 	 highway 	 a highway
tủ 	 noun 	 wardrobe 	 cabinet; cupboard; wardrobe; chest; safe
tủ 	 noun 	 chest 	 cabinet; cupboard; wardrobe; chest; safe
tủ 	 noun 	 cupboard 	 cabinet; cupboard; wardrobe; chest; safe
tủ 	 noun 	 cabinet 	 cabinet; cupboard; wardrobe; chest; safe
tủ 	 noun 	 safe 	 cabinet; cupboard; wardrobe; chest; safe
tủ 	 noun 	 valuable 	 something valuable and useful that is kept by people to themselves, and only shown or used in times of need to win over others; stock-in-trade
tủ 	 noun 	 win over 	 something valuable and useful that is kept by people to themselves, and only shown or used in times of need to win over others; stock-in-trade
tủ 	 noun 	 useful 	 something valuable and useful that is kept by people to themselves, and only shown or used in times of need to win over others; stock-in-trade
tủ 	 noun 	 need 	 something valuable and useful that is kept by people to themselves, and only shown or used in times of need to win over others; stock-in-trade
tủ 	 noun 	 stock-in-trade 	 something valuable and useful that is kept by people to themselves, and only shown or used in times of need to win over others; stock-in-trade
tủ 	 noun 	 kept 	 something valuable and useful that is kept by people to themselves, and only shown or used in times of need to win over others; stock-in-trade
tủ 	 noun 	 part 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 subject 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 high 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 exam 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 deem 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 focus 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 chosen 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 preparation 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 yield 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 noun 	 study 	 part of a subject deemed to be high-yield in exams and chosen as the focus of one's study/exam preparation
tủ 	 verb 	 overlay 	 to cover ; to overlay
tủ 	 verb 	 cover 	 to cover ; to overlay
cơ mà 	 conjunction 	 yet 	 but; yet
cơ mà 	 conjunction 	 but 	 but; yet
bùa 	 noun 	 charm 	 charm; amulet
bùa 	 noun 	 amulet 	 charm; amulet
bùa 	 noun 	 spell 	 spell
môi 	 noun 	 lip 	 lip
môi 	 noun 	 dipper 	 dipper, ladle
môi 	 noun 	 ladle 	 dipper, ladle
dế trũi 	 noun 	 mole cricket 	 mole cricket
hò 	 noun 	 traditional 	 a traditional Vietnamese work song
hò 	 noun 	 work song 	 a traditional Vietnamese work song
hò 	 noun 	 Vietnamese 	 a traditional Vietnamese work song
hò 	 verb 	 sing 	 to sing a traditional Vietnamese work song
chụp 	 verb 	 seize 	 to seize, to catch
chụp 	 verb 	 catch 	 to seize, to catch
chụp 	 verb 	 photograph 	 to photograph
dao cạo 	 noun 	 razor 	 razor
ụm bò 	 interjection 	 moo 	 moo
cá mè 	 noun 	 barb 	 barb
cá quả 	 noun 	 snakehead 	 snakehead
cá trê 	 noun 	 airbreathing catfish 	 airbreathing catfish
ưng 	 noun 	 hawk 	 hawk
ưng 	 verb 	 like 	 to like and accept
ưng 	 verb 	 accept 	 to like and accept
cú lợn 	 noun 	 barn owl 	 a barn owl
diệc 	 noun 	 heron 	 heron
dúi 	 noun 	 w:Bamboo rat 	 bamboo rat
thuỷ lợi 	 noun 	 irrigation 	 irrigation
thuỷ ngân 	 noun 	 quicksilver 	 mercury; quicksilver
thuỷ ngân 	 noun 	 mercury 	 mercury; quicksilver
cảnh 	 noun 	 view 	 scenery; view; landscape
cảnh 	 noun 	 landscape 	 scenery; view; landscape
cảnh 	 noun 	 scenery 	 scenery; view; landscape
cảnh 	 noun 	 scene 	 scene
cảnh 	 noun 	 plight 	 state; situation; plight
cảnh 	 noun 	 state 	 state; situation; plight
cảnh 	 noun 	 situation 	 state; situation; plight
cảnh 	 noun 	 shot 	 shot
cảnh 	 noun 	 decoration 	 ornament, decoration
cảnh 	 noun 	 ornament 	 ornament, decoration
cảnh 	 noun 	 cymbal 	 A traditional Vietnamese cymbal found in chầu văn that is placed on the floor and struck with wooden beaters
cảnh 	 noun 	 Vietnamese 	 A traditional Vietnamese cymbal found in chầu văn that is placed on the floor and struck with wooden beaters
cảnh 	 noun 	 beater 	 A traditional Vietnamese cymbal found in chầu văn that is placed on the floor and struck with wooden beaters
cảnh 	 noun 	 floor 	 A traditional Vietnamese cymbal found in chầu văn that is placed on the floor and struck with wooden beaters
cảnh 	 adjective 	 ornamental 	 ornamental, decorative
cảnh 	 adjective 	 decorative 	 ornamental, decorative
cảnh 	 adjective 	 plant 	 cây cảnh|ornamental plant
cảnh 	 adjective 	 pet 	 pet
cảnh 	 adjective 	 toy dog 	 chó cảnh|toy dog
cảnh 	 adjective 	 house cat 	 mèo cảnh|house cat
cảnh 	 adjective 	 w:fancy mouse 	 chuột cảnh|fancy mouse
cảnh 	 adjective 	 cervical 	 cervical
cảnh 	 adjective 	 carotid 	 động mạch cảnh|carotid
chủ ngữ 	 noun 	 subject 	 subject
chủ ngữ 	 noun 	 object 	 |object
chủ ngữ 	 noun 	 predicate 	 |predicate
móng 	 noun 	 nail 	 a nail
móng 	 noun 	 talon 	 a claw, talon or hoof
móng 	 noun 	 claw 	 a claw, talon or hoof
móng 	 noun 	 hoof 	 a claw, talon or hoof
móng 	 noun 	 foundation 	 foundation ; base
móng 	 noun 	 base 	 foundation ; base
cõng 	 verb 	 piggyback 	 to give someone a piggyback
和談 	 noun 	 peace talks 	 peace talks
bếp 	 noun 	 stove 	 stove, cooker
bếp 	 noun 	 cooker 	 stove, cooker
bếp 	 noun 	 kitchen 	 kitchen
lò 	 noun 	 kiln 	 kiln, furnace, oven, heater
lò 	 noun 	 oven 	 kiln, furnace, oven, heater
lò 	 noun 	 furnace 	 kiln, furnace, oven, heater
lò 	 noun 	 heater 	 kiln, furnace, oven, heater
gân 	 noun 	 tendon 	 tendon
gân 	 noun 	 vein 	 vein
vĩ 	 noun 	 bow 	 bow
vĩ 	 noun 	 latitude 	 latitude
vĩ 	 noun 	 grand 	 great, grand
vĩ 	 noun 	 great 	 great, grand
突兀 	 adverb 	 suddenly 	 suddenly
ca nô 	 noun 	 speedboat 	 a speedboat
越僑 	 noun 	 Vietnamese 	 Vietnamese resident in other countries
mã lực 	 noun 	 horsepower 	 horsepower
微波 	 noun 	 microwave 	 microwave
陰性 	 adjective 	 negative 	 negative
thuỵ sĩ 	 adjective 	 Swiss 	 Swiss
tây 	 adjective 	 Western 	 |Western; European and American
tây 	 adjective 	 American 	 |Western; European and American
tây 	 adjective 	 European 	 |Western; European and American
ngáy 	 verb 	 snore 	 to snore
sớm 	 adverb 	 early 	 early
sớm 	 adverb 	 soon 	 soon
sớm 	 adverb 	 morning 	 morning
nửa 	 noun 	 half 	 half
nửa 	 adjective 	 half 	 half; semi-
nửa 	 adjective 	 semi- 	 half; semi-
trễ 	 adjective 	 late 	 late
còn 	 verb 	 left 	 to remain; to be left; to still have or exist
còn 	 verb 	 exist 	 to remain; to be left; to still have or exist
còn 	 verb 	 have 	 to remain; to be left; to still have or exist
còn 	 verb 	 remain 	 to remain; to be left; to still have or exist
còn 	 verb 	 still 	 to remain; to be left; to still have or exist
còn 	 verb 	 alive 	 to be alive
còn 	 adverb 	 yet 	 yet; still
còn 	 adverb 	 still 	 yet; still
學區 	 noun 	 district 	 school district
學區 	 noun 	 school 	 school district
thiên hà 	 noun 	 galaxy 	 galaxy
hán-tạng 	 adjective 	 Sino-Tibetan 	 Sino-Tibetan
nam á 	 adjective 	 South 	 South Asian
nam á 	 adjective 	 Asian 	 South Asian
nam á 	 adjective 	 Austroasiatic 	 Austroasiatic
ăn cắp 	 verb 	 steal 	 to steal
ầm ĩ 	 adjective 	 noisy 	 noisy, loud; clamourous
ầm ĩ 	 adjective 	 loud 	 noisy, loud; clamourous
ầm ĩ 	 adjective 	 clamourous 	 noisy, loud; clamourous
y tá 	 noun 	 nurse 	 a nurse
父兄 	 noun 	 parent 	 parent
藥學 	 noun 	 pharmacology 	 pharmacy, pharmacology
藥學 	 noun 	 pharmacy 	 pharmacy, pharmacology
đó 	 pronoun 	 there 	 there
đó 	 pronoun 	 they 	 they, those
đó 	 pronoun 	 those 	 they, those
thấy 	 verb 	 gather 	 to succeed in gathering information through the senses
thấy 	 verb 	 succeed 	 to succeed in gathering information through the senses
thấy 	 verb 	 sense 	 to succeed in gathering information through the senses
thấy 	 verb 	 information 	 to succeed in gathering information through the senses
thấy 	 verb 	 form 	 to form a sensation, feeling or opinion based on what you've already felt or known
thấy 	 verb 	 felt 	 to form a sensation, feeling or opinion based on what you've already felt or known
thấy 	 verb 	 sensation 	 to form a sensation, feeling or opinion based on what you've already felt or known
thấy 	 verb 	 opinion 	 to form a sensation, feeling or opinion based on what you've already felt or known
thấy 	 verb 	 known 	 to form a sensation, feeling or opinion based on what you've already felt or known
thấy 	 verb 	 feeling 	 to form a sensation, feeling or opinion based on what you've already felt or known
lúc 	 noun 	 time 	 moment, time
lúc 	 noun 	 moment 	 moment, time
định 	 verb 	 fix 	 to fix; to appoint; to set; to assign
định 	 verb 	 set 	 to fix; to appoint; to set; to assign
định 	 verb 	 appoint 	 to fix; to appoint; to set; to assign
định 	 verb 	 assign 	 to fix; to appoint; to set; to assign
định 	 verb 	 intend 	 to intend ; to plan ; to be about
định 	 verb 	 about 	 to intend ; to plan ; to be about
định 	 verb 	 plan 	 to intend ; to plan ; to be about
đem 	 verb 	 bring 	 to bring; to carry
đem 	 verb 	 carry 	 to bring; to carry
蜉蝣 	 noun 	 mayfly 	 mayfly
蜉蝣 	 adjective 	 ephemeral 	 ephemeral
𩈘𡗶 	 noun 	 sun 	 sun
tiệm 	 noun 	 store 	 shop, store
tiệm 	 noun 	 shop 	 shop, store
khuya 	 adverb 	 night 	 late at night
khuya 	 adverb 	 late 	 late at night
kĩ sư 	 noun 	 engineer 	 engineer
細胞學 	 noun 	 cytology 	 cytology
người 	 pronoun 	 thou 	 You/Thou/Thee, Jesus Christ
người 	 pronoun 	 you 	 You/Thou/Thee, Jesus Christ
người 	 pronoun 	 thee 	 You/Thou/Thee, Jesus Christ
người 	 pronoun 	 Jesus Christ 	 You/Thou/Thee, Jesus Christ
người 	 pronoun 	 Lord 	 You/Thou/Thee, my Lord
người 	 pronoun 	 he 	 He/Him, Jesus Christ
người 	 pronoun 	 Jesus Christ 	 He/Him, Jesus Christ
người 	 pronoun 	 him 	 He/Him, Jesus Christ
người 	 pronoun 	 Lord 	 He/Him, the Lord
美滿 	 adjective 	 satisfactory 	 fully satisfactory; perfect
美滿 	 adjective 	 fully 	 fully satisfactory; perfect
美滿 	 adjective 	 perfect 	 fully satisfactory; perfect
紅外 	 adjective 	 infrared 	 infrared
kim chi 	 noun 	 kimchi 	 kimchi
goá 	 adjective 	 widowed 	 widowed
tàu thuỷ 	 noun 	 ship 	 a ship
tiến hoá 	 verb 	 evolve 	 to evolve
ngang 	 adjective 	 horizontal 	 horizontal
ngang 	 adjective 	 side 	 to the side
ngang 	 adjective 	 unreasonably 	 unreasonably stubborn
ngang 	 adjective 	 stubborn 	 unreasonably stubborn
ngang 	 adjective 	 flat 	 level; flat
ngang 	 adjective 	 level 	 level; flat
ngang 	 adverb 	 along 	 across, as opposed to along
ngang 	 adverb 	 across 	 across, as opposed to along
ngang 	 verb 	 equal 	 to match; to be equal
ngang 	 verb 	 match 	 to match; to be equal
vô tư 	 adjective 	 carefree 	 carefree; worriless
vô tư 	 adjective 	 worriless 	 carefree; worriless
vô tư 	 adjective 	 selfless 	 selfless
vô tư 	 adjective 	 impartial 	 impartial; unbiased
vô tư 	 adjective 	 unbiased 	 impartial; unbiased
chuỳ 	 noun 	 spiked 	 spiked club
chuỳ 	 noun 	 club 	 spiked club
古氣候學 	 noun 	 palaeoclimatology 	 palaeoclimatology
少兒 	 noun 	 child 	 child
đằm 	 adjective 	 steady 	 smooth and steady without sudden changes in movement
đằm 	 adjective 	 smooth 	 smooth and steady without sudden changes in movement
đằm 	 adjective 	 deep 	 tranquil and deep
đằm 	 adjective 	 tranquil 	 tranquil and deep
đằm 	 adjective 	 calm 	 equable; sedate; calm and even-tempered
đằm 	 adjective 	 even-tempered 	 equable; sedate; calm and even-tempered
đằm 	 adjective 	 equable 	 equable; sedate; calm and even-tempered
đằm 	 adjective 	 sedate 	 equable; sedate; calm and even-tempered
đằm 	 verb 	 mud 	 |to wallow in the water or mud
đằm 	 verb 	 wallow 	 |to wallow in the water or mud
đằm 	 verb 	 water 	 |to wallow in the water or mud
đằm 	 adjective 	 correct 	 correct; right; on the mark
đằm 	 adjective 	 on the mark 	 correct; right; on the mark
đằm 	 adjective 	 right 	 correct; right; on the mark
知識論 	 noun 	 epistemology 	 epistemology
mít-tinh 	 noun 	 mass 	 mass meeting; assembly
mít-tinh 	 noun 	 assembly 	 mass meeting; assembly
mít-tinh 	 noun 	 meeting 	 mass meeting; assembly
vạn 	 numeral 	 myriad 	 cardinal numbers  ten thousand; myriad
vạn 	 numeral 	 ten thousand 	 cardinal numbers  ten thousand; myriad
vạn 	 numeral 	 one hundred thousand 	 mười vạn |one hundred thousand
muông 	 noun 	 quadruped 	 a quadruped
不動 	 adjective 	 motionless 	 motionless
意圖 	 noun 	 design 	 intention; plan; design
意圖 	 noun 	 intention 	 intention; plan; design
意圖 	 noun 	 plan 	 intention; plan; design
商隊 	 noun 	 caravan 	 caravan
danh hoạ 	 noun 	 famous 	 famous painter
danh hoạ 	 noun 	 painter 	 famous painter
hoả táng 	 verb 	 cremate 	 to cremate
青龍 	 noun 	 dragon fruit 	 dragon fruit
無雙 	 noun 	 unparalleled 	 unparalleled
hà mã 	 noun 	 hippopotamus 	 a hippopotamus
loang 	 verb 	 spread 	 to spread
生理學 	 noun 	 physiology 	 physiology
mê tín 	 verb 	 superstitious 	 to be superstitious
mê tín 	 verb 	 faith 	 to have blind faith in
mê tín 	 verb 	 blind 	 to have blind faith in
說教 	 noun 	 sermon 	 sermon
和順 	 verb 	 concord 	 to concord; to be in accord
bờm 	 noun 	 mane 	 a mane
bờm 	 noun 	 headband 	 a headband
bờm 	 adjective 	 silly 	 silly and lacking in common sense
bờm 	 adjective 	 common sense 	 silly and lacking in common sense
khê 	 adjective 	 overcooked 	 slightly overcooked and burned
khê 	 adjective 	 burn 	 slightly overcooked and burned
số ít 	 noun 	 singular 	 the singular
số ít 	 noun 	 minority 	 |minority
方法論 	 noun 	 methodology 	 methodology
方法論 	 adjective 	 methodological 	 methodological
khen 	 verb 	 praise 	 to praise, to compliment, to commend
khen 	 verb 	 compliment 	 to praise, to compliment, to commend
khen 	 verb 	 commend 	 to praise, to compliment, to commend
tã 	 noun 	 diaper 	 diaper
lược 	 noun 	 comb 	 comb
lược 	 verb 	 prune 	 to prune; to abridge
lược 	 verb 	 abridge 	 to prune; to abridge
lược 	 verb 	 omit 	 to omit
老視 	 noun 	 presbyopia 	 presbyopia
上議院 	 noun 	 upper house 	 upper house
mãi 	 adverb 	 always 	 for a long time; unceasingly; always; all the time
mãi 	 adverb 	 time 	 for a long time; unceasingly; always; all the time
mãi 	 adverb 	 long 	 for a long time; unceasingly; always; all the time
mãi 	 adverb 	 all the time 	 for a long time; unceasingly; always; all the time
mãi 	 adverb 	 unceasingly 	 for a long time; unceasingly; always; all the time
mỏ 	 noun 	 beak 	 beak; bill
mỏ 	 noun 	 bill 	 beak; bill
mỏ 	 noun 	 mouth 	 mouth
mỏ 	 noun 	 mine 	 mine
từng 	 adverb 	 once 	 once
từng 	 pronoun 	 each 	 every; each
từng 	 pronoun 	 every 	 every; each
từng 	 noun 	 amount 	 quantity; amount
từng 	 noun 	 quantity 	 quantity; amount
từng 	 noun 	 storey 	 |storey; layer
từng 	 noun 	 layer 	 |storey; layer
nao nao 	 adjective 	 uneasy 	 uneasy
hẻm 	 noun 	 narrow 	 narrow place
hẻm 	 noun 	 place 	 narrow place
hẻm 	 noun 	 lane 	 cul-de-sac; alley; lane
hẻm 	 noun 	 cul-de-sac 	 cul-de-sac; alley; lane
hẻm 	 noun 	 alley 	 cul-de-sac; alley; lane
hẻm 	 adjective 	 narrow 	 narrow
nâu 	 adjective 	 brown 	 brown
bo bo 	 noun 	 Job's tears 	 Job's tears
ai dè 	 interjection 	 what do you know 	 what do you know?
ai dè 	 interjection 	 who would have thought it 	 who would have thought it?
phùn 	 adjective 	 drizzly 	 drizzly
phùn 	 verb 	 drizzle 	 to drizzle
rêu 	 noun 	 moss 	 moss
chợt 	 adverb 	 suddenly 	 suddenly
bỗng 	 adverb 	 suddenly 	 suddenly
đèo 	 noun 	 pass 	 mountain pass
đèo 	 noun 	 mountain 	 mountain pass
đèo 	 verb 	 carry 	 to carry
đèo 	 verb 	 carry 	 to carry ; to transport
đèo 	 verb 	 transport 	 to carry ; to transport
cà vạt 	 noun 	 necktie 	 necktie
khá 	 adjective 	 decently 	 fairly/decently competent; fine; OK
khá 	 adjective 	 competent 	 fairly/decently competent; fine; OK
khá 	 adjective 	 fairly 	 fairly/decently competent; fine; OK
khá 	 adjective 	 fine 	 fairly/decently competent; fine; OK
khá 	 adjective 	 OK 	 fairly/decently competent; fine; OK
khá 	 adjective 	 poor 	 "decent", below |excellent and |good, above |average, |poor and |terrible
khá 	 adjective 	 decent 	 "decent", below |excellent and |good, above |average, |poor and |terrible
khá 	 adjective 	 average 	 "decent", below |excellent and |good, above |average, |poor and |terrible
khá 	 adjective 	 good 	 "decent", below |excellent and |good, above |average, |poor and |terrible
khá 	 adjective 	 excellent 	 "decent", below |excellent and |good, above |average, |poor and |terrible
khá 	 adjective 	 terrible 	 "decent", below |excellent and |good, above |average, |poor and |terrible
khá 	 adverb 	 competently 	 fairly competently
khá 	 adverb 	 fairly 	 fairly competently
khá 	 adverb 	 rather 	 quite; rather; fairly
khá 	 adverb 	 fairly 	 quite; rather; fairly
khá 	 adverb 	 quite 	 quite; rather; fairly
quan tâm 	 verb 	 interest 	 to care about; to be interested in; to take interest in
quan tâm 	 verb 	 interested 	 to care about; to be interested in; to take interest in
quan tâm 	 verb 	 care 	 to care about; to be interested in; to take interest in
ngập 	 adjective 	 flooded 	 be flooded
khoe 	 verb 	 flaunt 	 to flaunt, to show off, to boast
khoe 	 verb 	 show off 	 to flaunt, to show off, to boast
khoe 	 verb 	 boast 	 to flaunt, to show off, to boast
ruộng 	 noun 	 field 	 field
sát na 	 noun 	 split-second 	 split-second
hơi 	 adverb 	 somewhat 	 slightly, somewhat, a little
hơi 	 adverb 	 slightly 	 slightly, somewhat, a little
hơi 	 adverb 	 a little 	 slightly, somewhat, a little
hơi 	 noun 	 steam 	 vapor, steam
hơi 	 noun 	 vapor 	 vapor, steam
hơi 	 noun 	 breath 	 breath
hơi 	 noun 	 gas 	 gas
hơi 	 noun 	 gas 	 gas
hơi 	 noun 	 smell 	 smell, odor
hơi 	 noun 	 odor 	 smell, odor
phổ 	 adjective 	 Prussian 	 Prussian
đồng tính 	 adjective 	 homosexual 	 homosexual; gay
đồng tính 	 adjective 	 gay 	 homosexual; gay
nhắn 	 verb 	 message 	 to send word; to leave a message
nhắn 	 verb 	 send 	 to send word; to leave a message
nhắn 	 verb 	 word 	 to send word; to leave a message
nhắn 	 verb 	 leave 	 to send word; to leave a message
sa di 	 noun 	 novice 	 novice monk
sa di 	 noun 	 monk 	 novice monk
gửi 	 verb 	 send 	 to send
統計學 	 noun 	 statistics 	 statistics
年代學 	 noun 	 chronology 	 chronology
tàu hoả 	 noun 	 steam 	 a steam train
tàu hoả 	 noun 	 train 	 a steam train
神經學 	 noun 	 neurology 	 neurology
人文學 	 noun 	 humanities 	 humanities
法家 	 noun 	 Legalism 	 Legalism
mùa mưa 	 noun 	 monsoon 	 rainy season, monsoon
mùa mưa 	 noun 	 rainy season 	 rainy season, monsoon
諡號 	 noun 	 posthumous name 	 posthumous name
靜脈 	 noun 	 vein 	 vein
憲兵 	 noun 	 gendarmerie 	 gendarmerie
lẻ 	 adjective 	 odd 	 odd not divisible by two
lẻ 	 adjective 	 subsequent 	 being a number so irrational it's very difficult to express it in whole numbers or roots of them and to make subsequent calculations easier
lẻ 	 adjective 	 root 	 being a number so irrational it's very difficult to express it in whole numbers or roots of them and to make subsequent calculations easier
lẻ 	 adjective 	 irrational 	 being a number so irrational it's very difficult to express it in whole numbers or roots of them and to make subsequent calculations easier
lẻ 	 adjective 	 easier 	 being a number so irrational it's very difficult to express it in whole numbers or roots of them and to make subsequent calculations easier
lẻ 	 adjective 	 whole number 	 being a number so irrational it's very difficult to express it in whole numbers or roots of them and to make subsequent calculations easier
lẻ 	 adjective 	 calculations 	 being a number so irrational it's very difficult to express it in whole numbers or roots of them and to make subsequent calculations easier
lẻ 	 adjective 	 zero 	 Signifies the “zero” in numbers such as 805 and 2001
lẻ 	 adverb 	 alone 	 alone rather than with other people
lẻ 	 adverb 	 cigarette 	 unwholly, for example, when buying a few cigarettes rather than a whole pack
lẻ 	 adverb 	 pack 	 unwholly, for example, when buying a few cigarettes rather than a whole pack
lẻ 	 adverb 	 unwholly 	 unwholly, for example, when buying a few cigarettes rather than a whole pack
異端 	 verb 	 heretical 	 to be superstitious; to be heretical
異端 	 verb 	 superstitious 	 to be superstitious; to be heretical
côsin 	 noun 	 cosine 	 cosine
塵世 	 noun 	 world 	 world of mortals
塵世 	 noun 	 mortals 	 world of mortals
rắm 	 noun 	 fart 	 a fart
táp 	 verb 	 snap 	 to snap, to bite
táp 	 verb 	 bite 	 to snap, to bite
阿諛 	 noun 	 flattery 	 flattery
倫理學 	 noun 	 ethics 	 ethics
民族學 	 noun 	 ethnology 	 ethnology
những 	 determiner 	 marker 	 Plural marker
những 	 adverb 	 verb 	 only; just followed by a verb
những 	 adverb 	 only 	 only; just followed by a verb
những 	 adverb 	 just 	 only; just followed by a verb
những 	 particle 	 as much as 	 Emphasizes the quantity of noun: as many as; as much as
những 	 particle 	 many 	 Emphasizes the quantity of noun: as many as; as much as
những 	 particle 	 as 	 Emphasizes the quantity of noun: as many as; as much as
những 	 particle 	 nothing but 	 Emphasizes the abundance and uncountability of something: nothing but
những 	 particle 	 uncountability 	 Emphasizes the abundance and uncountability of something: nothing but
những 	 particle 	 abundance 	 Emphasizes the abundance and uncountability of something: nothing but
卵黃 	 noun 	 yolk 	 yolk
水雷 	 noun 	 naval mine 	 naval mine
chữ kí 	 noun 	 autograph 	 signature; autograph
chữ kí 	 noun 	 signature 	 signature; autograph
不合法 	 adjective 	 illegal 	 illegal
𠀪 	 verb 	 drawl 	 to have a drunken drawl
𠀪 	 verb 	 drunken 	 to have a drunken drawl
𠀫 	 verb 	 drawl 	 to have a drunken drawl
𠀫 	 verb 	 drunken 	 to have a drunken drawl
ót 	 noun 	 nape 	 nape
形聲 	 noun 	 compounding 	 phonosemantic compounding
形聲 	 noun 	 phonosemantic 	 phonosemantic compounding
國徽 	 noun 	 national emblem 	 national emblem
乘數 	 noun 	 factor 	 factor
準星 	 noun 	 quasar 	 quasar
反切 	 noun 	 fanqie 	 fanqie
古人類學 	 noun 	 paleoanthropology 	 paleoanthropology
lều 	 noun 	 tent 	 tent
đóng 	 verb 	 close 	 to close, shut, be closed a door, lid, border
đóng 	 verb 	 shut 	 to close, shut, be closed a door, lid, border
đóng 	 verb 	 shut down 	 to shut down
đóng 	 verb 	 drive 	 to drive a nail, stake
đóng 	 verb 	 solidify 	 to congeal, solidify grease, water, blood}
đóng 	 verb 	 congeal 	 to congeal, solidify grease, water, blood}
đóng 	 verb 	 pack 	 to pack wine, flour, goods in a container
đóng 	 verb 	 role 	 to appear in, star in, play a role in a play, movie, show
đóng 	 verb 	 appear 	 to appear in, star in, play a role in a play, movie, show
đóng 	 verb 	 star 	 to appear in, star in, play a role in a play, movie, show
đóng 	 verb 	 pay 	 to post, pay, submit
đóng 	 verb 	 submit 	 to post, pay, submit
đóng 	 verb 	 post 	 to post, pay, submit
đóng 	 verb 	 assemble 	 to assemble a table, shoe, ship, book
đóng 	 verb 	 wear 	 to wear tightly, fasten to oneself a loincloth, harness, yoke
đóng 	 verb 	 fasten 	 to wear tightly, fasten to oneself a loincloth, harness, yoke
đóng 	 verb 	 affix 	 to affix a seal
đóng 	 verb 	 station 	 to station; to be stationed
đóng 	 verb 	 stationed 	 to station; to be stationed
đóng 	 verb 	 rank 	 to achieve a specific military rank
mở 	 verb 	 open 	 to open, be open a door, lid, path, source code
mở 	 verb 	 unfold 	 to unfold, expand, open up
mở 	 verb 	 expand 	 to unfold, expand, open up
mở 	 verb 	 open up 	 to unfold, expand, open up
mở 	 verb 	 start up 	 to turn on, start up a computer, light, fan
mở 	 verb 	 turn on 	 to turn on, start up a computer, light, fan
mở 	 verb 	 open 	 to open for business
mở 	 verb 	 inaugurate 	 to launch, inaugurate an investigation, conference, military campaign
mở 	 verb 	 launch 	 to launch, inaugurate an investigation, conference, military campaign
hô 	 adjective 	 forming 	 forming an overbite or underbite
hô 	 adjective 	 overbite 	 forming an overbite or underbite
hô 	 adjective 	 underbite 	 forming an overbite or underbite
hô 	 noun 	 scream 	 to cry; to scream
hô 	 noun 	 cry 	 to cry; to scream
音信 	 noun 	 message 	 message; news
音信 	 noun 	 news 	 message; news
終始 	 adverb 	 fidelity 	 with marital fidelity
終始 	 adverb 	 marital 	 with marital fidelity
終始 	 adjective 	 maritally 	 maritally loyal
終始 	 adjective 	 loyal 	 maritally loyal
da gà 	 noun 	 skin 	 chicken skin
da gà 	 noun 	 chicken 	 chicken skin
da gà 	 noun 	 skin 	 skin area with goosebumps/goose pimples
da gà 	 noun 	 goosebump 	 skin area with goosebumps/goose pimples
da gà 	 noun 	 area 	 skin area with goosebumps/goose pimples
da gà 	 noun 	 goose pimple 	 skin area with goosebumps/goose pimples
cớm 	 noun 	 cop 	 a cop
bồ tát 	 noun 	 bodhisattva 	 a bodhisattva
bấm 	 noun 	 nail clipper 	 a nail clipper
bấm 	 noun 	 stapler 	 a stapler
bấm 	 verb 	 press 	 to press
bấm 	 verb 	 clip 	 to clip
bấm 	 verb 	 staple 	 to staple
ốm 	 adjective 	 sick 	 ill; sick
ốm 	 adjective 	 ill 	 ill; sick
ốm 	 adjective 	 skinny 	 skinny; bony
ốm 	 adjective 	 bony 	 skinny; bony
này 	 determiner 	 this 	 this
này 	 adverb 	 here 	 here
đặt 	 verb 	 put 	 to place; to put; to lay
đặt 	 verb 	 place 	 to place; to put; to lay
đặt 	 verb 	 lay 	 to place; to put; to lay
đặt 	 verb 	 commission 	 to commission; to order
đặt 	 verb 	 order 	 to commission; to order
thử 	 verb 	 see 	 to try doing something and see if it works
thử 	 verb 	 try 	 to try doing something and see if it works
thử 	 verb 	 work 	 to try doing something and see if it works
thử 	 verb 	 suitable 	 to try something and see if it's suitable
thử 	 verb 	 test 	 to test; to get a test
thử 	 adverb 	 test 	 for a test; for a tryout
thử 	 adverb 	 tryout 	 for a test; for a tryout
鑒定 	 verb 	 inspect 	 to inspect; to appraise; to examine
