dictionary	dictiōnārium
excommunicate	excommunicare
stirrup	stapes
stirrup	stapia
last resort	extrēma
chew the cud	rūmīnō
multiplicity	multiplicitas
fill up	impleo
why not	cūr nōn
why not	quidnī
why not	quid ni
rush hour	hora del taco
rush hour	hora &quot;peak&quot;
rush hour	hora pico
rush hour	hora punta
rush hour	hora de apuros
rush hour	hora pendularista
slow down	tardō
slow down	tardescō
speed up	accelerō
speed up	addo gradum
condensed milk	condensatur lac
rapine	rapīna
con artist	fraudātor
mockery	dērīsiō
merriment	hilaritas
inconvenient	incommodus
goodwill	bona voluntas
combinatorics	calculus coniunctionibus
combinatorics	ars combinatoria 
cheer up	hilarō
cheer up	relaxō
reformer	reformātor
scorched	adustus
italianize	talijanizírati
fideicommissum	fideicommissum
sweet flag	iđìrot
bee-eater	merops
monopsony	monopsonium
irritating	molestus
confectionery	cuppēdia
confectionery	bellāria
brighten	candēscō
liquidity	liquiditas
conditionally	condiciōnāliter
out of sight, out of mind	procul ex oculis, procul ex mente
the pen is mightier than the sword	cedant arma togae
practice makes perfect	repetitio est mater studiorum
practice makes perfect	fabricando fit faber
springboard	petaurus
ransack	dīripiō
ransack	praedor
ransack	expīlō
ransack	pervēnor
bartholomew	Bartholomaeus
petticoat	castula
scratch	scabō
scratch	scalpō
scratch	scabo
scratch	annullare
blackness	nigritia
blackness	nigredo
blackness	nigror
even if	etsī
even if	etiamsī
earthy	terreus
storeroom	cella
rustler	abāctor
psychopathy	psychopathia
anointed	ūnctus
defiled	temerātus
defiled	pollūtus
crazed	vacerrōsus
agatha	Agatha
ambrose	Ambrosius
apollonia	Apollōnia
teutonic knights	Ordo domus Sanctae Mariae Theutonicorum Ierosolimitanorum
teutonic knights	Ordo Teutonicus
deformed	dēfōrmis
deformed	distortus
daub	lino
bathtub	dureta
bathtub	lābrum
bathtub	alveus
bathtub	bañera
bathtub	Cuba
bathtub	bañadera
bathtub	tina
roughness	asperitās
jointly	ūniter
unwillingness	nōluntās
newness	novitās
fairness	pulchritūdō
soft-spoken	suppressus
monastir	Monasterium
commandment	praeceptum
vascon	vasco
there's no accounting for taste	de gustibus non est disputandum
gerald	Geraldus
ainu	lingua Ainuana
bookbinder	glūtinātōr
down payment	arrabō
knowingly	scienter
lowliness	humilitās
cultured	cultus
mortify	mācerō
set out	proficiscor
lay bare	discooperio
deadly sin	peccatum mortiferum
spiritually	spīritāliter
grindstone	mola
laburnum	laburnum
reverent	reverens
predestination	predodređenje
long-lasting	diūtinus
long-lasting	diūturnus
long-lived	vivax
long-lived	longivivax
long-suffering	longanimis
falsity	falsitās
rattling	crepitus
gentian	gentiāna
gentian	sirìštara
gentian	gencijána
gentian	srčànīk
gentian	lìncura
alleviation	levamentum
stooping	prōnus
murmuring	gannītus
murmuring	murmurātiō
beatrice	Beatrix
mountaineer	oribata
storyteller	nuntius
storyteller	fabulātor
storyteller	memorātor
flowerbed	flōrētum
dig up	effodiō
lock up	inclūdō
bleary-eyed	lippus
blow hot and cold	duabus sellis sedeo
obligated	obligātus
exult	exsultō
tufa	tōfus
intentionally	consiliō
as if	quasi
as if	ceu
four hundred	quadringentī
six hundred	sescentī
seven hundred	septingentī
eight hundred	octingentī
nine hundred	nōngentī
drenched	madidus
sorceress	maga
sorceress	venefica
sorceress	strīga
sorceress	lamia
sorceress	fascinatrix
sorceress	fascinatoria
sorceress	fascinans
hilly	clīvōsus
hilly	tumulōsus
just now	dūdum
just now	modo
whereto	quō
no thank you	nōn gratiās agō
actions speak louder than words	rēs, nōn verba
marvelous	mīrus
marvelous	mirabilis
a lie has no legs	u laži su kratke noge
lamb of god	Agnus Dei
bethlehem	Bēthlehēmum
in front of	ante
in front of	prae
in front of	pro
in front of	prō
jew's harp	drombulja
jew's harp	brunda
dragonwort	dracunculus
dragonwort	colubrīna
dragonwort	serpentīna
dragonwort	serpentīnāria
dragonwort	vīperīna
dragonwort	dracontea
shaded	opācus
stammering	haesitantia
stammering	haesitātiō
stammering	titubātiō
as far as	tenus
vladimir	Vladimirus
vladimir	Volodimiria
sugary	dulse
glorified	mactus
incorrectly	barbare
incorrectly	perperam
kirtle	author=John Milton
repercussion	repercussio
ophthalmologist	oculārius
ophthalmologist	oculāria
keep away	abarceo
keep off	abhibeo
edom	Idumea
byzantine empire	Imperium Romanum Orientale
byzantine empire	Imperium Byzantinum
byzantine empire	Byzantium
byzantine empire	Vizantiya Imperiyasi
whithersoever	quōvīs
whithersoever	quōquō
pine nut	pìnjōl
hyperbaton	hyperbaton
make a living	mereo
rigidity	rigor
fragility	fragilitās
unchaste	pollūtus
unchaste	adulterīnus
unchaste	cinaedicus
unchaste	impudīcus
unchaste	incestus
unchaste	adulter
deaconess	diaconissa
salted	salsus
ice-cold	gelidus
despoil	praedor
willow grouse	Lagopus lagopus
pointlessly	nēquīquam
pointlessly	in cassum
undisturbed	inturbidus
forester	saltuārius
drinkable	poculentus
wolfhound	lupārius
canute	Canutus
look out	video
decayed	puter
decayed	cariōsus
spendthrift	prōflīgātor
spendthrift	consumptor
associative array	glossarium
associative array	index verborum
noise pollution	sonitus pollutio
avariciously	avariter
birds of a feather flock together	pares cum paribus facillimē congregantur
predisposition	praedispositio
scathe	damnum
detour	dēvortia
hors d'oeuvre	gustātiō
hors d'oeuvre	prōmulsis
furrier	pelliō
inertness	torpēdō
shamelessly	impudenter
imprudently	audacter
heedlessness	neglegentia
heedlessness	indīligentia
heedlessness	incūria
heedlessness	temeritūdō
rashness	temeritās
powerlessness	impotentia
unpolished	impolītus
rashly	audacter
rashly	audaciter
rashly	audenter
rashly	imprūdenter
rashly	temerē
automated teller machine	bankomat
fatigued	fessus
fatigued	lassus
because of	propter
because of	ob
because of	prae
wavering	nutans
blameless	innocens
guiltless	innocens
reproachful	crīminōsus
repurchase	redimō
fatuity	stultitia
imbecility	imbecillitas
irksomeness	molestia
slowness	lentitudo
slowness	tarditās
slowness	sēgnitia
canterbury	Durovernum
canterbury	Cantuāria
ganges	Ganges
irascibility	iracundia
invulnerable	invulnerābilis
invulnerable	atrōtus
skulk	lateō
footman	pedisequus
plymouth	Plimmuta
eye patch	splēnium
inclusively	inclusive
estate agent	praediātor
bloodless	exsanguis
buttress	erisma
forested	silvōsus
forested	arbustus
unwillingly	invītē
clouded	turbidus
clouded	nebulōsus
helplessness	inopia
kyushu	Ximum
glanders	malleus
inverted	inversus
immutability	immutabilitas
giles	Aegidius
net weight	neto masa
hamstrung	suppernātus
headband	vitta
headband	torulus
heathenism	pāgānismus
heathenism	pāgānitās
heathenism	gentīlitās
holm oak	īlex
holm oak	cr̀nika
holm oak	čèsmina
uninterrupted	perpes
go up	ascendō
hot-tempered	īrācundus
speckled	sparsus
capri	Capreae
cerebral palsy	paralysis cerebralis
red sea	Mare rubrum
sodden	madidus
internally	penitus
fearlessly	audenter
fearlessly	audacter
sparingly	parce
scantiness	exiguitās
frugality	parsimōnia
frugality	frūgālitās
aide-de-camp	optiō
satiety	satietas
harvester	messor
introit	introitus
unmanageable	inhabilis
manageable	tractābilis
symbolically	symbolice
symbolically	sumbolice
unharmed	illaesus
unharmed	incolumis
merrymaking	cōmīssātiō
stonecutter	lapicīda
stonecutter	quadrator
frigidity	frīgiditās
chilliness	algor
placename	nomen loci
whitish	subalbus
whitish	alburnus
rental	conductum
replenish	repleō
idler	cessātor
the end justifies the means	exitus ācta probat
nightshade	sōlānum
nightshade	loba
nuncio	nuntius
oleander	nerium
packsaddle	clītellae
packsaddle	sagma
bedstead	sponda
bedstead	okvir kreveta
courthouse	cūria
baptistry	baptistērium
poultice	fōmentum
pulverise	conterō
pulverise	comminuo
safflower	cnecos
caciocavallo	cascabellus
caciocavallo	kačkàvālj
asphodel	asphodelus
asphodel	hērōum
asphodel	albutium
warwick	Wārwīcum
thenceforth	ex eo tempore
conspiracy theory	theoria conspirationis
conspiracy theory	theoria coniurationis
catnip	nepeta
herman	Arminius
herod	Hērōdēs
calais	Calētum
merlin	Merlinus
cincinnati	Cincinnati
cincinnati	title=A dictionary of the English language; exhibiting the origin, orthography, pronunciation, &amp; definitions of words; to which are added, a synopsis of words differently pronounced by different orthoëpists, and Walker's key to the classical pronunciation of Greek, Latin, and Scripture proper names; with the addition of a vocabulary of modern geographical names, with their pronunciation
cooperative	cooperātivus
formless	informis
baldwin	Balduinus
police force	vigilia
lucian	Lucianus
micro-region	microrregionis
hemorrhoid	hemoròīd
believable	crēdibilis
carlisle	Luguvallium
cain	Cain
dogwood	cornus
constabulary	vigilia
state of matter	agregatno stanje
unwholesome	morbidus
purchaser	ēmptor
purchaser	ēmtor
purchaser	ēmptrīx
purchaser	ēmtrīx
pharmacologist	farmakòlog
pharmacologist	farmakològinja
dawdler	cunctātor
mandrake	mandragora
sodomise	paedico
leonard	Leonardus
huns	Hunni
new high german	year=1995
tonsillectomy	tonsillectomia
in the way	obvius
on the way	obiter
thus far	adhūc
thus far	hactenus
reveller	cōmīssātor
wolverhampton	Wulfrunehantona
wolverhampton	Wluronehamptona
cape gooseberry	perùānska jȁgoda
lille	Īnsula
pythagoras	Pythagoras
pythagoras	Pitagora
pythagorean theorem	theorema Pythagorae
elbe	Albis
munster	Momōnia
heresiarch	haeresiarcha
fateful	fatidicus
fateful	fatidicum
harmonium	harmonium
realgar	risigallum
realgar	rissigallum
public works	opera publica
halberd	hallebarda
halberd	hellebarda
blackish	subniger
surety	vas
surety	sponsor
cast net	rētiāculum
meso-region	mesorregionis
unsophisticated	inurbānus
hillock	colliculus
hillock	tumulus
haunch	femur
letters close	litterae clausae
loosestrife	protívak
loosestrife	mètīljka
loosestrife	mètīlj
make merry	cōmīssor
straggle	pālor
instill	indō
marriageable	nūbilis
marriageable	nuptiabilis
marriageable	viripotens
marriageable	parectatus
vacuum-clean	pasar la aspiradora
vacuum-clean	aspirar
come to pass	accidō
come to pass	ēveniō
carry coals to newcastle	in silvam ligna ferō
chamber pot	matella
chamber pot	matellio
objectivism	obiectivismus
sourness	acor
sourness	aciditas
judea	Iudaea
disloyal	infidēlis
one of a kind	ūnicus
anthill	formicarium
anthill	formicarum agmen
dunkirk	Dunkirka
pompeii	Pompeiī
ancestress	genetrix
apatite	apàtīt
recommence	repetō
dutiful	pius
pediment	fastīgium
scabrous	scabrōsus
boggy	paluster
mariolatry	mariolatria
soda ash	nitrum
crone	anus
saltine	a=aeilnst
slowpoke	cunctātor
entangled	inexpedītus
manservant	anculus
come on	anima
come on	animate
come on	gradiamur
come on	eamus
come on	vadamus
come on	incita
come on	incitate
come on	excita
come on	excitate
come on	hortare
come on	hortamini
come on	adhortare
come on	adhortamini
come on	aude
come on	audete
feigned	fictus
herdsman	armentārius
herdsman	bubulcus
embers	favilla
finality	finalitas
dallas	Dallāsium
felix	Felix
paving	strātūra
singly	singillātim
shepherd's purse	rusòmača
shepherd's purse	tarčùžāk
infantryman	pedes
guardianship	tūtēla
censer	tūribulum
refurbish	interpolō
stiff-necked	contumax
not bad	nōn male
béchamel sauce	bešamel
béchamel sauce	bešamel sos
elisabeth	Elisabeth
pillory	patibulum
piece of paper	scheda
put an end to	dēleō
reconsideration	reputātiō
reflect upon	meditor
hereford	Herefordia
ridiculously	perrīdiculē
milanese	mediolanensis
milanese	Mediolanensis
plowman	arātor
castrated	sectārius
cast off	repudiō
savagery	saevitia
sandpit	harēnāria
unpleasantness	iniūcunditās
banishment	exsilium
banishment	ablēgātiō
shortness of breath	dyspnoea
doorjamb	postis
dragnet	tragula
skirmisher	vēles
skirmisher	rōrārius
soothingly	blanditer
stableman	equīsō
steadiness	stabilitās
to be sure	nempe
falconry	falconaria
falconry	accipitraria
retaining wall	abamūrus
galilee	Galīlaea
unharness	abiungō
unharness	disiungō
unmuddied	illīmis
wagonload	vehis
wonted	suētus
winepress	prēlum
winepress	torculum
crippled	mancus
crippled	claudus
splint	serperastrum
worthlessness	nēquitia
worthlessness	vilitas
banknote	charta argentaria
malmö	Malmogia
climb up	ascendō
bonn	Castra Bonnensia
scaled	squāmeus
scaled	squāmōsus
immersed	immersus
condensed	spissātus
roasted	assus
puzzling	perplexus
slanting	obliquus
betrothal	sponsālia
groundless	vānus
ceaseless	iūgis
shapeless	informis
noiseless	tacitus
noiseless	impercussus
forgiving	clēmēns
forgiving	ignoscens
oarlock	scalmus
insufficiently	parum
dyed	suffectus
dyed	tinctus
uneducated	illitterātus
uneducated	indoctus
uneducated	inērudītus
beardless	imberbis
blessedness	beatitūdō
brawler	rixātor
flowerpot	tēsta
caparison	ephippium
dry mouth	xerostomia
prophetess	prophētissa
prophetess	prophētis
prophetess	vāticinātrīx
unpunished	inultus
beaming	renīdens
crimea	Crimaea
grumbling	gannītus
grumbling	murmurātiō
oviparous	oviparus
discoverer	repertor
alienated	abstractus
orange juice	jugo de naranja
orange juice	zumo de naranja
paternal grandfather	avus paternus
maternal grandmother	avia maternis
forefoot	antepēs
worcester	Vigornia
colchester	Camulodūnum
chelmsford	Caesaromagus
doncaster	Dānum
shrewsbury	Salopia
stratford-on-avon	Stratfordia super Avonam
maternal grandfather	avus maternus
newman	Neander
half-breed	hibrida
half-breed	mixtīcius
hiding place	latebra
reshape	reformō
chafing	tritūra
strangling	angor
amphibrach	amphibrachys
amphibrach	amphibrachus
amphibrach	amphibrevis
call sign	indicativum
arachne	Arachnē
luzon	Luconia
palawan	palawanesis
palawan	palavanesis
lourdes	Lapurdum
i hate you	te odi
i hate you	vos odi
dijon	Diviō
angers	Andecāvis
angers	Juliomagus
hagar	Agar
in bed	in lectō
valenciennes	Valentianae
swordsman	gladiator
subliminal message	perceptio subliminalis
severed	praecīsus
canary islands	Canariae Insulae
canary islands	Fortunatae Insulae
inclement	inclēmēns
attainable	impetrābilis
sodium carbonate	nitrum
rhombic	rhombeatus
neurasthenic	neurastèničan
neurasthenic	neurastènīk
matchmaker	conciliātrix
abundius	Abundius
satirize	cavillor
disentangle	extrīcō
cheaply	vīliter
cheaply	salubriter
head of household	pater familias
gladden	hilarō
gladden	laetificō
patty	isicium
henpecked	uxorius
alban	Albanus
alban	historical
albin	Albīnus
epicurus	Epicūrus
cannes	Canoē
comforter	consōlātor
hibiscus	hibiscus
maid of honour	prōnuba
colewort	ērūca
take care of	cūrō
take care of	como
take care of	occido
take care of	macto
take care of	caedo
take care of	neco
helmsman	gubernātor
hopelessness	desperatio
unoccupied	vastus
catholic church	Ecclesia Catholica
orthodox church	Ecclesia Orthodoxa
unavailable	inexpedītus
bad faith	mala fides
folktale	fabula
cyclamen	cyclamen
cyclamen	cyclamīnos
vannes	Dariorigum
guarantor	sponsor
guarantor	nōtor
cockscomb	crista
breda	Breda
point out	addigito
point out	mōnstrō
easter island	insula Paschae
hezekiah	Ezechias
affability	affabilitās
aide-mémoire	pro memoria
hydromancy	hydromantīa
hydromancy	Late Latin
chock full	effertus
emend	ēmendō
german democratic republic	Res publica democratica Germanica
put to the test	perīclitor
put to the test	experior
brutus	Brutus
interdictory	interdictorius
in fact	rēvēra
gustav	Gustavus
fax machine	similarium
hadrian	Hadrianus
in hand	sub frenō
in hand	in frenīs
thunderous	tonitrālis
uglify	dēformāre
ossuary	ossuārium
make an effort	nītor
bulrush	scirpus
one-eyed	luscus
one-eyed	ūnoculus
corinthians	Corinthios
sunbathe	aprīcor
truthfully	veraciter
suppleness	mollitia
suppleness	mollitūdō
suppleness	mollitiēs
stick out	prōmineō
stick out	exsero
waistband	subligāculum
shake up	suscitō
no pain, no gain	quī arat olīvētum, rogat fructum
no pain, no gain	quī stercorat, exōrat
no pain, no gain	quī caedit, cōgit
no pain, no gain	sine labōre nōn erit pānis in ōre
no pain, no gain	sine labōre nōn est pānis in ōre
philippians	Epistula ad Philippenses
inexperience	imperītia
fairyland	terra divalis
contemptuously	contemptim
instead of	pro
tentatively	sensim
winnowing basket	vannus
winnowing fan	ventilābrum
jehovah's witness	Testis Jehovah
jericho	Hiericus
pilate	Pilatus
banditry	latrocinium
bather	natator
bather	natatrix
bather	nans
bather	natans
punishable	castīgābilis
regionally	regionaliter
sparta	Sparta
savagely	ferōciter
hepatitis a	гепати́т A
navarre	Navarra
metz	Divodurum
metz	Mettis
yonne	Icauna
resinous	rēsīnōsus
white house	Domus Alba
oak gall	galla
sheepskin	mastrūca
bite me	suge mentulam meam
wolf in sheep's clothing	lupus in vestimentum ovium
outpouring	fusio
inverse function	fūnctiō inversa
indigestion	cruditatem
indigestion	cruditas
indigestion	cruditates
forewarn	praemoneō
forewarn	praeclamo
briskness	strenuitas
metalepsis	metalēpsis
discalced	discalceātus
knock-kneed	vārus
anastasius	Anastasius
reciprocal pronoun	pronomen reciprocum
snobbish	superbus
snobbish	ēmunctus
silliness	fatuitās
silliness	socordia
jewelled	gemmātus
judgeship	iūdicātus
judgeship	iūstitiāria
jurisdictional	iurisdictionalis
lord's prayer	Pater noster
harrowing	occātiō
canaan	Chanaān
voracity	avāritia
modestly	modestē
towline	remulcum
unspoken	indictus
podiatrist	podiatra
podiatrist	podólogo
podiatrist	podóloga
narrowness	angustia
strip off	dēstringō
flight attendant	azafata
flight attendant	azafato
flight attendant	aeromoza
flight attendant	moza
flight attendant	aeromozo
flight attendant	mozo
flight attendant	auxiliar de vuelo
go through with	perpetrō
craftiness	vulpēs
hyssop	hysopum
unsinkable	immersābilis
hymeneal	hymenaeus
commit suicide	mihi mortem conscisco
eye of a needle	forāmen acūs
get even	hostiō
bypath	dēverticulum
byroad	dēverticulum
netherworld	infera
netherworld	Orcus
horrify	horrificō
mossy	muscōsus
pardon me	ignosce mihi
pardon me	ignoscite mihi
ossification	ossificatio
virulently	virulente
viburnum	viburnum
vileness	dēfōrmitās
vileness	nēquitia
vileness	indignitas
attentiveness	attentiō
protestantism	Protestantes
superhuman	divinus
wild animal	bēstia
wild animal	fera
wakeful	vigil
wakeful	evigilans
wakefulness	vigilantia
wakefulness	vigilātiō
wakefulness	vigilia
horsetail	equisētum
horsetail	prȅslica
infrequently	infrequenter
hic et nunc	year=1995
unmixed	merus
appraiser	aestimātor
perjure	peiero
flavorless	insulsus
bashfulness	verēcundia
milled	molitus
imprinted	impressus
peppered	piperātus
shielded	leucaspis
shipwrecked	naufragus
here and now	hic et nunc
deborah	Debora
under control	sub frenō
under control	in frenīs
warty	verrūcōsus
segment	segmentum
unhindered	expedītus
blue-green	venetus
pay back	rependō
helplessly	inopis
for sale	venālis
squeamishness	fastīdium
castile	Castella
mocker	irrīsor
earphone	auscultabulum
elastin	a=aeilnst
latinization	Latinisierung
latinization	Latinh hóa
oligarchic	oligarchicus
grow up	alescō
grow up	adolescō
greek fire	Ignis Graecus
dumbbell	bȕčica
dumbness	alogia
martyrology	martyrologium
unweaned	lactens
dunghill	fimētum
dunghill	fimārium
speak to	alloquor
speak to	colloquor
speak to	affor
onrush	ēruptiō
galatians	Galatas
empedocles	Empedocles
twin towers	Svjetski trgovački centar
nablus	Neāpolis
sensibly	sapienter
dismayed	dēiectus
dismayed	exanimis
patched	sartus
dalmatia	Dalmatia
istria	Histria
polypody	filix
polypody	filicula
creaking	crepitus
troubling	aerumnābilis
towered	turrītus
coarsely	aspere
coarsely	duriter
hoarder	accumulātor
poisoner	venēficus
poisoner	venēfica
fierceness	immānitās
neatness	nitor
neatness	munditia
thinness	macritūdō
thinness	gracilitās
snow-white	niveus
unprepared	imparātus
unaccustomed	insuētus
unaccustomed	insolens
dependable	fīdus
pomander	pōmum dē ambra
so to speak	tamquam
so to speak	tanquam
stupefied	torpidus
stupefied	attonitus
evitable	ēvītābilis
peevishness	senium
peevishness	morositas
potbellied	ventriōsus
sunburnt	adustus
wide-awake	pervigil
evening star	vesperūgō
evening star	Hesperus
applauder	plausor
gladiolus	gladiolus
sea of japan	Mare Iaponicum
artilleryman	lībritor
as is	tantum et tale
unobserved	inobservātus
mouldy	mūcidus
disquieting	anxifer
wittily	facete
des moines	Monachopolis
decently	decenter
mutilated	mutilus
hesitantly	cunctanter
bursa	bursa synovialis
rankness	rancor
kislev	casleu
sivan	siban
frequentative	grammar
frequentative	frequentativum
play on words	dicacitas
westphalia	Vestphalia
westphalia	VVestphalia
westphalia	Westphalia
biodegradable	biodegradibilis
born-again	natus denuo
box tree	buxus
league of nations	Societas Civitatum
reformation	reformatio
rumormonger	fāmigerātor
celandine	rȍsopās
celandine	rȗsa
close to	circiter
cockcrow	gallicinium
corncob	кли̑п
corncob	klȋp
counterfeiter	falsārius
paternal grandmother	avia paternālis
haifa	Sycaminon
haifa	Sycaminum
haifa	Efa
haifa	Caiphas
haifa	Caiaphas civitas
atomization	atomizacija
peaceably	pācātē
peaceably	pācificē
lucius	Lucius
highwayman	latro
highwayman	latrunculus
foster child	alumnus
foster child	alumna
boatman	barkero
honorius	Honorius
barnabas	Barnabas
leopold	Leopoldus
raphael	Raphael
antioch	Antīochīa
cornelia	Cornelia
paleography	palaeographia
historiographer	memoriālis
silas	Sīlās
ovid	Ovidius
reminiscence	recordatio
reminiscence	memoria
prudently	prūdenter
don't mention it	nihil est
don't mention it	nihil est quod agās
don't mention it	nihil labōris est
don't mention it	aliud cūrā
play the fool	ineptio
ellipsoid	ellipsoides
barbershop	tonstrīna
wedding cake	mustāceus
receding	refluus
galvanic	galvanicus
disassemble	distrahō
equipollence	æquipollentia
reappear	revideor
undulating	perfluus
fire extinguisher	vatrogasni aparat
fire extinguisher	extintor
fire extinguisher	extinguidor
fire extinguisher	matafuego
screwing	futūtiō
grunting	grunnītus
summarily	brevemente
supercomputer	supercomputador
supercomputer	supercomputadora
supercomputer	superordenador
awesome	verendus
shrivelled	marcidus
brushwood	ramale
uninjured	incolumis
sluggishness	torpēdō
incitement	incitamentum
incitement	calcar
petulance	petulantia
mannered	mōrātus
ill-mannered	male mōrātus
bad-mannered	male mōrātus
pronouncement	effātum
unfruitful	infructuōsus
perfidious	perfidus
brickwork	latercium
microeconomics	microoeconomia
nephrite	lapis nephrīticus
nephrite	nephrītēs
tacitus	Tacitus
insensibility	indolentia
market research	istraživanje tržišta
savageness	saevitia
ferociously	ferōciter
ptolemy	Ptolemaeus
sapwood	alburnum
swampy	palūdester
swampy	palūdōsus
swampy	paluster
ubiquitin	ubiquitinum
mount fuji	Figenoiama
mount fuji	Figenojama
mount fuji	Mōns Fusius
eviction	dēiectiō
evildoing	maleficium
extinguisher	extintor
extinguisher	extinguidor
catch fire	ardescō
for example	exempli gratia
for example	quemadmodo
for example	tanquam
for example	quemadmodum
houseleek	sempervīvum
houseleek	stergethron
houseleek	čuvàrkuća
sauciness	protervitās
suburbanite	suburbānus
unbelief	incredulitas
apartment building	insula
lemnos	Lēmnos
easygoing	remissus
femoral	femorālis
no doubt	nīmīrum
no doubt	nempe
unappeasable	implācābilis
latinity	Latinität
latinity	Latīnitās
colossians	Colossenses
patronym	nomen patronymicum
patronym	patronymicum
ferryboat	pontō
fishpond	piscina
fistful	pugillum
by oneself	sponte
scornfully	contemptim
scoffer	irrīsor
dodona	Dodona
brunswick	Brūnōnis vīcus
bagatelle	apinae
maidenhair	adiantum
maidenhair	capillus Veneris
in turn	vicem
in turn	vicissim
attic salt	sāl Atticum
attic salt	sāl Atticus
schoolmate	condiscipulus
schoolmate	condiscipula
second-class	secundārius
filamentous	filamentosus
homonymous	homonymus
rain cloud	nimbus
ingeniously	affabrē
ordinary differential equation	aequātiō differentiālis ōrdināria
shadiness	opacitas
downhearted	dēiectus
love affair	amōrēs
love affair	cōnsuētūdō
substantival	substantivus
substantival	substantivalis
mendicant order	ōrdō mendīcāns
boneless	exos
sweetish	dulciculus
balearic islands	Baliares Insulae
mesentery	mesenterium
succinctly	succincte
fork in the road	bivium
surmountable	superābilis
daydreamer	cupītor
roguery	latrōcinium
roguery	nēquitia
roller skate	koturaljka
roominess	laxitās
rose-coloured	roseus
barberry	berberis
barberry	oxyacanthus
barberry	oxyacantha
barberry	spīna acida
barberry	žùtika
barberry	čèsmina
barbarize	effero
bathhouse	ḥamam
bathhouse	balneae
bedpost	fulcrum
surveyor	fīnītor
surveyor	agrimensor
suds	spūma
gamester	āleō
gamester	aleator
on the contrary	immō
on the contrary	contrāriō
on the contrary	ex contrāriō
guardedly	tectē
derider	irrīsor
baffling	perplexus
quotation marks	signum citationis
quotation marks	comillas
registry	tabularium
grown-up	adultus
grown-up	pubēs
acquired immune deficiency syndrome	syndrome comparati defectus immunitatis
debauchee	lastaurus
castanet	crotalum
st john's wort	ascyron
landscaping	topiāria
psychopomp	psȳchopompus
tersely	astrictē
reclusive	lūcifugus
messia	Messia
shamelessness	impudentia
pungency	acritās
pungency	paedor
chambéry	Camberiacum
chambéry	Camberium
mutinous	sēditiōsus
sinless	impeccans
plowshare	vomer
go to	adeo
go to	aggredior
riverbank	rīpa
shriveled	viētus
word of honor	verbum honoris
ten commandments	Decalogus
sweetmeat	cuppēdia
sweetmeat	bellāria
sheatfish	silūrus
elisha	Eliseus
nobleness	nobilitas
nobleness	ingenuitas
stop up	obtūrō
precious stone	gemma
midpoint	medietās
supertanker	superpetrolearia
slipperiness	lubricitas
stir up	percieō
stir up	suscitō
stir up	turbō
skinniness	macritūdō
skinniness	gracilitās
sleepiness	veternus
slenderness	gracilitās
sleeplessness	insomnia
sleeplessness	insomnietās
snobbishness	superbia
unworn	intrītus
untidiness	immunditia
untested	inexpertus
unsteadiness	instabilitas
unheard-of	inaudītus
undying	immortālis
sidelong	oblīquus
old hand	veterātor
usufructuary	ūsūfructuārius
mangled	lacer
slavishly	vernīliter
slavishly	servile
snarling	hirrītus
thessalonians	Thessalonicenses
discolored	dēcolor
slipway	návoz
pathetically	pathēticē
theseus	Thēseus
multicolored	multicolor
pass through	peragrō
bad egg	carō pūtida
storekeeper	tabernārius
nimbly	agiliter
beechnut	bȕkvica
easier said than done	facilius est dictū quam factū
ark of the covenant	arca foederis
adriatic	Adriaticus
adriatic	Hadriaticus
heliopolis	Hēliopolis
crossbeam	epistȳlium
crossbeam	trānstrum
monophthong	monophthongus
aloysius	Aloysius
standard-bearer	vexillārius
standard-bearer	signifer
peppy	alacer
sponger	parasītus
sponger	parasīta
coracoid process	processus coracoideus
primary school	ludus litterarius
primary school	educatio primaria
multilingualism	multilingualismus
slot machine	tragamonedas
slot machine	tragaperras
educated	ērudītus
aseity	aseitas
confusedly	permixtim
goosefoot	prudnik
goosefoot	jurjevac
goosefoot	pepeljuga
goosefoot	strator
templar	Templarius
promissory note	syngrapha
carouser	cōmīssātor
standard of living	cultus vitae
defection	transfugium
smokehouse	carnārium
oxonian	oxoniēnsis
sunbathing	āprīcātiō
mildness	lēnitās
all that glitters is not gold	nōn omne quod nitet aurum est
morphism	morphismus
dative of purpose	dativus finalis
-ic	-icus
cattail	buda
cattail	ulva
exception that proves the rule	exceptio probat rēgulam
sunshade	umbella
tartu	Tarbatum
pärnu	Pernavia
sorrowfully	dolenter
renovation	renovātiō
there are	sunt
chapped	rīmōsus
jack of all trades, master of none	Johannes factotum
laughing stock	lūdībrium
laughing stock	irrīdiculum
hail mary	Ave Maria
due to	propter
due to	ob
infirmary	valētūdinārium
spaciousness	laxitas
vial	fiola
stuttering	balbus
churlishness	inhūmānitās
chess piece	latro
the end	ācta est fābula, plaudite!
chinstrap	barbiquejo
chinstrap	barbijo
slow-witted	tardus
spiderweb	arāneum
spiderweb	arānea
spiderweb	cassiculus
delilah	Dalila
hail storm	grandō
insanely	dēmenter
round off	rotundō
swordbearer	ensifer
nimbleness	agilitās
nimbleness	pernīcitās
nimbleness	strēnuitās
jezebel	Hiezabel
at the same time	simītū
at the same time	idem temporis
at one time	quondam
every time	quoties
every time	unquam
in time	temporī
in time	tempore
military service	mīlitia
clubfooted	scaurus
publicise	dīvulgō
publicise	invulgō
coptic	Copticus
coptic	copticus
coptic	lingua Copticus
coptic	lingua copticus
by chance	fortuītō
by chance	temere
sustainable development	održivi razvoj
